Ts	B(Ts)
240.0	2.112540032930384
240.1	2.1173468024729094
240.2	2.1221612002822887
240.3	2.1269832326999145
240.4	2.1318129060668145
240.5	2.1366502267236833
240.6	2.1414952010108292
240.7	2.1463478352681644
240.8	2.151208135835305
240.9	2.156076109051463
241.0	2.1609517612555096
241.1	2.1658350987859785
241.2	2.1707261279810046
241.3	2.175624855178417
241.4	2.180531286715657
241.5	2.185445428929833
241.6	2.1903672881576934
241.7	2.195296870735695
241.8	2.2002341829998615
241.9	2.205179231285912
242.0	2.2101320219292644
242.1	2.2150925612649344
242.2	2.220060855627629
242.3	2.2250369113517006
242.4	2.2300207347711996
242.5	2.2350123322198048
242.6	2.2400117100308803
242.7	2.245018874537462
242.8	2.250033832072213
242.9	2.2550565889675656
243.0	2.2600871515555387
243.1	2.2651255261678425
243.2	2.270171719135881
243.3	2.2752257367907625
243.4	2.2802875854632116
243.5	2.285357271483683
243.6	2.290434801182293
243.7	2.2955201808888637
243.8	2.3006134169328907
243.9	2.3057145156435634
244.0	2.31082348334975
244.1	2.315940326380042
244.2	2.321065051062684
244.3	2.3261976637256616
244.4	2.3313381706966068
244.5	2.336486578302906
244.6	2.3416428928715995
244.7	2.346807120729471
244.8	2.351979268203004
244.9	2.3571593416183574
245.0	2.362347347301408
245.1	2.367543291577798
245.2	2.3727471807728016
245.3	2.377959021211461
245.4	2.383178819218515
245.5	2.3884065811184345
245.6	2.393642313235398
245.7	2.3988860218933232
245.8	2.404137713415847
245.9	2.409397394126303
246.0	2.4146650703477905
246.1	2.419940748403132
246.2	2.4252244346148744
246.3	2.4305161353053
246.4	2.435815856796419
246.5	2.4411236054100267
246.6	2.446439387467582
246.7	2.4517632092903585
246.8	2.457095077199325
246.9	2.4624349975152415
247.0	2.467782976558561
247.1	2.4731390206495285
247.2	2.4785031361081566
247.3	2.4838753292541558
247.4	2.4892556064070557
247.5	2.494643973886082
247.6	2.500040438010292
247.7	2.5054450050984576
247.8	2.510857681469116
247.9	2.516278473440616
248.0	2.5217073873310256
248.1	2.527144429458206
248.2	2.532589606139819
248.3	2.538042923693269
248.4	2.543504388435739
248.5	2.5489740066841984
248.6	2.554451784755432
248.7	2.5599377289659504
248.8	2.565431845632127
248.9	2.570934141070051
249.0	2.576444621595645
249.1	2.581963293524643
249.2	2.5874901631725153
249.3	2.5930252368545914
249.4	2.5985685208859834
249.5	2.6041200215815894
249.6	2.609679745256145
249.7	2.6152476982241577
249.8	2.6208238867999785
249.9	2.626408317297786
250.0	2.63200099603151
250.1	2.6376019293149517
250.2	2.643211123461729
250.3	2.648828584785255
250.4	2.6544543195988104
250.5	2.6600883342154593
250.6	2.6657306349481114
250.7	2.671381228109545
250.8	2.6770401200123115
250.9	2.682707316968839
251.0	2.688382825291405
251.1	2.6940666512920806
251.2	2.6997588012828513
251.3	2.705459281575485
251.4	2.7111680984816378
251.5	2.7168852583128023
251.6	2.722610767380336
251.7	2.7283446319954443
251.8	2.734086858469203
251.9	2.739837453112546
252.0	2.74559642223627
252.1	2.751363772151044
252.2	2.7571395091673936
252.3	2.7629236395957264
252.4	2.768716169746358
252.5	2.774517105929404
252.6	2.780326454454942
252.7	2.7861442216328896
252.8	2.7919704137730323
252.9	2.7978050371851197
253.0	2.803648098178693
253.1	2.8094996030632675
253.2	2.815359558148231
253.3	2.8212279697428397
253.4	2.827104844156293
253.5	2.8329901876976513
253.6	2.838884006675935
253.7	2.844786307400035
253.8	2.8506970961787608
253.9	2.8566163793208545
254.0	2.8625441631349577
254.1	2.8684804539296174
254.2	2.874425258013374
254.3	2.880378581694605
254.4	2.886340431281656
254.5	2.8923108130828243
254.6	2.8982897334063
